anlaegsbetydning,en_anlaegsbetydning,fa-icon,counts,most_frequent_datering,datering_distributions,definition,web_search_sources
Kogegrubekompleks,Boiler pit complex,bible,174,Bronzealder,"{'Bronzealder': 82, 'Oldtid': 70, 'Jernalder': 15, 'Udateret': 6, 'Historisk Tid': 1}","Et kogekompleks er et sted hvor der blev lavet mad, som er kendetegnet ved sine kogegruber og andre køkkenrelaterede genstande.","['https://www.kolleroed.dk/historie/fortidsminder/', 'https://loar.kb.dk/server/api/core/bitstreams/5d8d079a-f311-4bd1-95fc-9a811a6459f6/content']"
Klosteranlæg,Monastery installations,napster,166,Middelalder,"{'Middelalder': 126, 'Historisk Tid': 31, 'Efterreformatorisk tid': 5, 'Nyere tid': 4}","Et klosteranlæg er et sted, hvor der har boet og arbejdet religiøse mennesker, og som ofte er kendetegnet ved sine kirker, klostrebygninger og andre relaterede konstruktioner.","['https://da.wikipedia.org/wiki/Kloster_(kristendom)', 'https://trap.lex.dk/Klosteranl%C3%A6g,_mv.,_%C3%98m_Kloster', 'http://jmarcussen.dk/historie/Religion/arkitekt/bygdel4.html']"
Sagnsten,Legends,edge,165,Historisk Tid,"{'Historisk Tid': 137, 'Nyere tid': 19, 'Udateret': 6, 'Efterreformatorisk tid': 1, 'Middelalder': 1, 'Oldtid': 1}","En sagnsten er en stor sten, der er gravet med figurer eller symboler, og som ofte har en særlig betydning for de lokale beboere.",['https://da.wikipedia.org/wiki/Sagn']
Stenrække,Stone series,store,161,Oldtid,"{'Oldtid': 78, 'Udateret': 34, 'Stenalder': 16, 'Historisk Tid': 9, 'Jernalder': 7, 'Bronzealder': 6, 'Nyere tid': 6, 'Efterreformatorisk tid': 2, 'Vikingetid': 2, 'Middelalder': 1}","En stenrække er en række sten, der ofte er placeret i nærheden af en gravhøj eller andet stenalderkonstruktion, og som kan have fungeret som et gravmonument eller til religiøse formål.","['https://trap.lex.dk/Stenr%C3%A6kke,_mv.,_Gjedsergaard', 'https://slks.dk/omraader/kulturarv/beskyttede-fortidsminder/beskyttelseslinje-for-fortidsminder', 'https://trap.lex.dk/Stenr%C3%A6kke,_mv.,_Hammelmose']"
Dige (mark),Dig (mark),marker,154,Nyere tid,"{'Nyere tid': 67, 'Historisk Tid': 64, 'Udateret': 10, 'Oldtid': 6, 'Middelalder': 5, 'Bronzealder': 1, 'Jernalder': 1}","En dige er et gravet hul i jorden, som kan have fungeret som afmærkning af en grænse eller et marklægningssystem, og som ofte er kendetegnet ved sine smalle målinger.","['https://www.acronymfinder.com/Science-and-Medicine/DIGE.html', 'https://www.sciencedirect.com/topics/pharmacology-toxicology-and-pharmaceutical-science/difference-gel-electrophoresis', 'https://cdeworld.com/courses/5341-drug-induced-gingival-enlargement-a-review-of-diagnosis-and-current-treatment-strategies']"
Forsvarsvold,Defense violence,deaf,151,Udateret,"{'Udateret': 41, 'Historisk Tid': 38, 'Jernalder': 29, 'Middelalder': 24, 'Nyere tid': 10, 'Oldtid': 6, 'Vikingetid': 2, 'Stenalder': 1}","En forsvarsvold er et fæstningsværk, der består af en række lave, langstrakte volde, som er bygget til forsvar og beskyttelse, og som ofte er kendetegnet ved sine voldgrave.","['https://trap.lex.dk/Forsvarsvold,_Rammedige', 'https://trap.lex.dk/Forsvarsvold,_Pederskov', 'https://www.kristeligt-dagblad.dk/danmark/gammel-forsvarsvold-med-nyt-museum-paa-vej', 'https://da.wikipedia.org/wiki/Fredede_fortidsminder_i_Gribskov_Kommune']"
Dæmning (uspecificeret),Dam (unspecified),file,151,Nyere tid,"{'Nyere tid': 69, 'Historisk Tid': 63, 'Udateret': 12, 'Middelalder': 5, 'Efterreformatorisk tid': 1, 'Oldtid': 1}","En dæmning er et konstruktion, der er bygget til at holde vandet tilbage, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://trap.lex.dk/D%C3%A6mning_(uspecificeret),_Svinebjerg', 'https://trap.lex.dk/D%C3%A6mning_(uspecificeret),_Karlss%C3%B8', 'https://da.wikipedia.org/wiki/Fredede_fortidsminder_i_Hiller%C3%B8d_Kommune', 'https://www.europeana.eu/en/item/2020737/object_KUAS_2621586']"
Vejdæmning,Road Dam,ad,147,Historisk Tid,"{'Historisk Tid': 55, 'Nyere tid': 42, 'Udateret': 36, 'Middelalder': 7, 'Efterreformatorisk tid': 3, 'Oldtid': 2, 'Jernalder': 1, 'Vikingetid': 1}","En vejdæmning er en vej, som er bygget på en dæmning, og som ofte er kendetegnet ved sine lange, smalle konstruktioner, der ofte er placeret over vandløb.","['https://da.wikipedia.org/wiki/Vejd%C3%A6mning', 'https://www.lawinsider.com/da/dictionary/b%C3%B8jden']"
Vragdel,Debris,bars,144,Nyere tid,"{'Nyere tid': 35, 'Historisk Tid': 34, 'Udateret': 25, 'Middelalder': 18, 'Oldtid': 18, 'Jernalder': 8, 'Stenalder': 4, 'Vikingetid': 2}","En vragdel er et stykke af et fly eller andet transportmiddel, der er gået til grunde, og som ofte er fundet i vandet.","['https://ordnet.dk/ddo/ordbog?query=vragdel', 'https://hinative.com/questions/23324552']"
Skyttegrav,Trench,wrench,140,Nyere tid,"{'Nyere tid': 132, 'Historisk Tid': 4, 'Udateret': 3, 'Efterreformatorisk tid': 1}","En skyttegrav er en grøft i jorden, hvor soldater kan sidde eller stå oprejst og på den måde opnå beskyttelse mod fjenden, samtidig med at de bevare muligheden for at skyde.","['https://da.wikipedia.org/wiki/Skyttegrav', 'https://sv.wikipedia.org/wiki/Skyttegrav', 'https://www.wordreference.com/sven/skyttegrav']"
Ødekirkegård,Desert cemetery,meteor,137,Middelalder,"{'Middelalder': 68, 'Historisk Tid': 55, 'Udateret': 9, 'Nyere tid': 4, 'Vikingetid': 1}","En ødekirkegård er et område omkring en ødekirke, som er en middelalderkirke, som ikke længere fungerer som kirke. De anses for at være en vigtig del af Danmarks kulturarv.","['https://da.wikipedia.org/wiki/%C3%98dekirke', 'https://commons.wikimedia.org/wiki/File:Stendige_ved_Krogsb%C3%A6k_%C3%98dekirkeg%C3%A5rd.jpg', 'https://da.wikipedia.org/wiki/Krogsb%C3%A6k_%C3%98dekirkeg%C3%A5rd']"
Skelsten (offentlig administration),Skelsten (public administration),minus,135,Nyere tid,"{'Nyere tid': 114, 'Historisk Tid': 20, 'Udateret': 1}","En skelsten er en sten, der er gravet med en offentlig administration, f.eks. et våben eller et værktøj, og som ofte er brugt til at markere ejerskab eller ejendomsret over et område.",['https://themis.dk/synopsis/docs/Lovsamling/Straffeloven_kap_15.html']
Bolværk,Bolketwork,bold,132,Historisk Tid,"{'Historisk Tid': 61, 'Nyere tid': 44, 'Middelalder': 20, 'Efterreformatorisk tid': 5, 'Udateret': 2}","Et bolværk er en solidt forankret beklædning af træ, stål eller jernbeton, der bruges til at begrænse en sten- eller jordmasse, især på en mole eller kajs lodrette side.","['https://ordnet.dk/ddo/ordbog?query=bolv%C3%A6rk', 'https://da.wikipedia.org/wiki/Bolv%C3%A6rk', 'https://ordnet.dk/ddo/ordbog?entry_id=11005668&def_id=21008680&query=?u']"
Kunstigt anlæg,Artificial plant,plane,125,Nyere tid,"{'Nyere tid': 96, 'Udateret': 16, 'Historisk Tid': 7, 'Oldtid': 4, 'Middelalder': 1, 'Stenalder': 1}","Et kunstigt anlæg er et menneskeskabt konstruktion, som f.eks. en platform, en dæmning eller en ø, som er bygget til et bestemt formål, f.eks. energiproduktion eller forskning.","['https://trap.lex.dk/Kunstigt_anl%C3%A6g,_%C3%98stbjerg', 'https://kunstgraesdanmark.dk/', 'https://energinet.dk/anlaegsprojekter/energioer/']"
Batteri,Battery,at,120,Nyere tid,"{'Nyere tid': 119, 'Historisk Tid': 1}","Et batteri er et militært anlæg, der består af en række små fortifikationer, der er forankret til at beskytte en kyst eller en grænse, og som ofte er kendetegnet ved sine kanoner og andre våben.","['https://fortidsmindeguide.dk/tidsalder/nyere-tid/gulhat-batteri', 'https://da.wikipedia.org/wiki/Faste_Batteri', 'https://fortunfortet.dk/Koebenhavns-befaestning/landbef%C3%A6stningen/bernstorff-batteri']"
Tekstil,Textile,file,117,Jernalder,"{'Jernalder': 51, 'Vikingetid': 21, 'Nyere tid': 14, 'Udateret': 11, 'Historisk Tid': 7, 'Oldtid': 6, 'Efterreformatorisk tid': 2, 'Middelalder': 2, 'Stenalder': 2, 'Bronzealder': 1}","Tekstil er et materiale, der er lavet af gård, f.eks. uld, bomuld eller andre naturlige fiber, og som ofte er brugt til at lave tøj, tæpper eller andre tekstiler.","['https://shop.moesgaardmuseum.dk/dk/fortidsmindedag-2024-borum-eshoj', 'https://www.dr.dk/nyheder/viden/vi-var-overraskede-da-det-virkede-bageingrediens-kan-bruges-til-genanvende-materialer', 'https://slks.dk/omraader/kulturarv/arkaeologi-og-havbundens-fortidsminder/projekter-og-temaer/top-10-aarets-fund-2022']"
Skelsten (ejendom),Skelstones (property),opera,115,Historisk Tid,"{'Historisk Tid': 55, 'Nyere tid': 46, 'Oldtid': 9, 'Udateret': 3, 'Efterreformatorisk tid': 2}","En skelsten er en sten, der er gravet med en juridisk betydning, f.eks. en grænse mellem to ejendomme, og som ofte er kendetegnet ved sine synlige position i landskabet.","['https://trap.lex.dk/Skelsten_(ejendom),_Indelukket_-_%233', 'https://trap.lex.dk/Skelsten_(ejendom),_Indelukket_-_%232', 'https://boligejer.dk/matrikelkort', 'https://www.bolius.dk/uenig-med-nabo-hvad-gaelder-naar-hegnet-ikke-staar-i-skel-og-skelpaele-mangler-haevd-27721', 'https://sagfoererne.com/nabostrid/skel/']"
Urnebrandgrube,Arrow fire pit,fire,115,Jernalder,"{'Jernalder': 89, 'Oldtid': 15, 'Bronzealder': 11}","En urnebrandgrube er et sted, hvor der har været en brandgrav i jernalderen, og som ofte er kendetegnet ved sine rester af brændte jord og skele.","['https://pure.kb.dk/en/publications/en-urnebrandgrube-med-jernfibula-fra-markv%C3%A6nget-i-vesthimmerland', 'https://tidsskrift.dk/kuml/article/view/97288', 'https://discovery.researcher.life/article/fra-jyllands-ldste-jernalder/4842ccc2651d31df93f1b119d5672821']"
Moselig,Moselig,seedling,115,Jernalder,"{'Jernalder': 54, 'Oldtid': 45, 'Udateret': 11, 'Stenalder': 5}","Et moseligt er et sted, hvor der har været religiøs aktivitet, og som ofte er kendetegnet ved sine særlige konstruktioner, f.eks. et kapel eller et sted, hvor der er blevet afholdt møder.","['https://www.merriam-webster.com/dictionary/model', 'https://www.vocabulary.com/dictionary/modeling', 'https://dictionary.cambridge.org/us/dictionary/english/modeling']"
Kapel,Chapel,quinscape,113,Middelalder,"{'Middelalder': 65, 'Historisk Tid': 45, 'Nyere tid': 2, 'Udateret': 1}","En kapel er et sted til kristen tilbedelse, der ofte er bygget på et sted med særlig betydning, f.eks. et helligdomssted eller et sted med forbindelser til en lokal helgen.","['https://en.wiktionary.org/wiki/kapel', 'https://dictionary.cambridge.org/dictionary/dutch-english/kapel', 'https://en.bab.la/dictionary/indonesian-english/kapel', 'https://www.ancestry.com/name-origin?surname=kapel', 'https://en.wikipedia.org/wiki/Kapel']"
Fæstningsanlæg,Fortress plants,plane,113,Nyere tid,"{'Nyere tid': 100, 'Historisk Tid': 7, 'Middelalder': 2, 'Udateret': 2, 'Vikingetid': 2}","Et fæstningsanlæg er et militært fæstningsværk, der er bygget til forsvar og beskyttelse, og som ofte er placeret på et strategisk sted, f.eks. ved en havn eller en grænse.","['https://ordnet.dk/ddo/ordbog?query=f%C3%A6stningsanl%C3%A6g', 'https://ordnet.dk/ddo/ordbog?query=bef%C3%A6stningsanl%C3%A6g', 'https://en.wiktionary.org/wiki/f%C3%A6stning', 'https://krydsordexperten.dk/krydsord/faestningsanlaeg']"
Kælderanlæg,Basement installations,icons,113,Historisk Tid,"{'Historisk Tid': 28, 'Nyere tid': 25, 'Middelalder': 20, 'Jernalder': 19, 'Efterreformatorisk tid': 12, 'Bronzealder': 3, 'Oldtid': 2, 'Stenalder': 2, 'Udateret': 2}","Et kælderanlæg er et sted, hvor der har været produktion eller lagering af fødevarer, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://danmarksoldtid.lex.dk/Huse_og_k%C3%A6ldre', 'https://trap.lex.dk/Rundh%C3%B8j,_mv.,_S%C3%B8nder_Plantage']"
Keramik,Ceramics,icons,108,Jernalder,"{'Jernalder': 28, 'Nyere tid': 26, 'Middelalder': 21, 'Historisk Tid': 10, 'Efterreformatorisk tid': 8, 'Udateret': 5, 'Bronzealder': 4, 'Oldtid': 4, 'Stenalder': 2}","Keramik er et materiale, der er lavet af ler, f.eks. tøjfler, fat eller figurer, og som ofte er brugt til at lave husholdningsgenstande eller til pynt.","['https://fortidsmindeguide.dk/tidsalder/bonde-stenalder/dystrup-dysser', 'https://vhm.dk/nyheder/vendsyssel-har-faaet-et-nyt-fredet-fortidsminde/', 'https://fortidsmindeguide.dk/tidsalder/bonde-stenalder/mangehoje', 'https://www.museerne.dk/arkaeologi/']"
Lystanlæg,Lighting installations,icons,107,Nyere tid,"{'Nyere tid': 104, 'Historisk Tid': 3}","Et lystanlæg er et have- eller parkanlæg, der er tilrettet til offentligheden, og som ofte er kendetegnet ved sine smukke og velholdte omgivelser.","['https://ordnet.dk/ods/ordbog?query=lystanl%C3%A6g', 'https://www.bramminginfo.dk/lystanlegget.html']"
Stendyngegrav,Stone dungeon,dungeon,106,Stenalder,"{'Stenalder': 103, 'Bronzealder': 1, 'Jernalder': 1, 'Oldtid': 1}","En stendyngegrav er en grav, hvor den døde er blevet begravet i en kiste, som er sat ned i en dyb jordgrav, ofte med et væld af genstande.","['https://tidsskrift.dk/kuml/article/view/24211', 'https://www.sciencedirect.com/science/article/abs/pii/S0278416515001075']"
Bygningssten,Building blocks,building,102,Historisk Tid,"{'Historisk Tid': 28, 'Middelalder': 23, 'Jernalder': 21, 'Nyere tid': 20, 'Udateret': 7, 'Efterreformatorisk tid': 2, 'Bronzealder': 1}","En bygningssten er en type sten, der ofte bruges til byggeri, f.eks. til facader, trapper eller andre konstruktioner, og som er kendetegnet ved sine kvadratiske eller rektangulære former.","['https://da.glosbe.com/da/da/bygningssten', 'https://ordnet.dk/ddo/ordbog?query=byggesten', 'https://da.wikipedia.org/wiki/Blok', 'https://ordnet.dk/ddo/ordbog?query=forbandt']"
Skibssætning,Seafaring,ring,100,Vikingetid,"{'Vikingetid': 48, 'Oldtid': 32, 'Jernalder': 18, 'Bronzealder': 2}","En skibssætning er en gravform, der ligner et skib, ofte med oprejste sten i en spidsoval figur, der danner en ramme omkring graven. Den er forbundet med forhistoriske kulturer, især i Bronzealderen og Vikingetiden.","['https://danmarkshistorien.dk/vis/materiale/skibssaetningen-i-jelling-ca-950', 'https://jegi.dk/re/2013-Lejre/Index.htm', 'https://trap.lex.dk/Skibss%C3%A6tning,_H%C3%B8jstrupgravpladsen_-_%233']"
Gravsten,Tombstones,om,99,Nyere tid,"{'Nyere tid': 81, 'Middelalder': 7, 'Historisk Tid': 6, 'Efterreformatorisk tid': 5}","En gravsten er en sten, der er placeret på en grav, og som ofte er gravet med den dødes navn, fødsels- og dødsår, og andre personlige oplysninger.","['https://en.wiktionary.org/wiki/gravsten', 'https://dictionary.cambridge.org/dictionary/swedish-english/gravsten', 'https://www.genealogistkottal.com/danish-genealogy-blog/gravsten-means-gravestone/', 'https://dictzone.com/danish-english-dictionary/gravsten', 'https://dictionary.cambridge.org/us/dictionary/english/gravestone']"
Ler,Clay,play,96,Jernalder,"{'Jernalder': 41, 'Oldtid': 15, 'Nyere tid': 14, 'Bronzealder': 7, 'Historisk Tid': 7, 'Middelalder': 7, 'Udateret': 2, 'Efterreformatorisk tid': 1, 'Stenalder': 1, 'Vikingetid': 1}","Ler er et materiale, der er lavet af tøjfler, f.eks. fra uld eller bomuld, og som ofte er brugt til at lave tøj, tæpper eller andre tekstiler.","['https://fortidsmindeguide.dk/tidsalder/bonde-stenalder/milehoj-jaettestue', 'https://www.sn.dk/gribskov-kommune/se-billederne-fortidsminde-skrider-i-havet/', 'https://fortidsmindeguide.dk/tidsalder/bonde-stenalder/jordehoj-jaettestue']"
Brandgrav i trækiste,Fireburst in wooden ice,fire,94,Bronzealder,"{'Bronzealder': 84, 'Stenalder': 4, 'Vikingetid': 4, 'Oldtid': 2}","En brandgrav i trækiste er en grav, hvor den døde er blevet brændt og begravet i en trækiste, som er dækket af en vældig dæksten.","['https://trap.lex.dk/brandgrav', 'https://sites.google.com/view/denlilledanmarkshistorie/danmarks-historie/bronze-og-jernalder']"
Havn,Port,file-export,94,Historisk Tid,"{'Historisk Tid': 38, 'Middelalder': 31, 'Nyere tid': 21, 'Efterreformatorisk tid': 2, 'Udateret': 2}","En havn er et vandløb, der er bygget til at skibe kan lægge an, og som ofte er kendetegnet ved sine mole, kaje og andre konstruktioner.","['https://slks.dk/omraader/kulturarv/beskyttede-fortidsminder/beskyttelseslinje-for-fortidsminder', 'https://slks.dk/omraader/kulturarv/information-til-ejere-/-brugere/dispensation-til-aendring-af-beskyttet-fortidsminde', 'https://via.ritzau.dk/pressemeddelelse/13667811/nu-kan-det-blive-lettere-at-have-fortidsminder-i-baghaven?publisherId=13561312', 'https://fortidsmindeguide.dk/tidsalder/nyere-tid/brondehoje-skanse']"
Kanal,Channel,cpanel,93,Nyere tid,"{'Nyere tid': 56, 'Historisk Tid': 14, 'Efterreformatorisk tid': 10, 'Middelalder': 6, 'Udateret': 5, 'Jernalder': 2}","En kanal er et kunstigt vandløb, der er bygget til at skibe kan sejle igennem, og som ofte er kendetegnet ved sine mole, sluicer og andre konstruktioner.","['https://en.wiktionary.org/wiki/kanal', 'https://www.merriam-webster.com/dictionary/canal', 'https://www.collinsdictionary.com/us/dictionary/german-english/kanal', 'https://dictionary.cambridge.org/dictionary/norwegian-english/kanal']"
Dige (kirkegård),Dig (Cemetery),meteor,92,Historisk Tid,"{'Historisk Tid': 63, 'Middelalder': 25, 'Nyere tid': 4}","En dige er et gravet hul i jorden, som kan have fungeret som afmærkning af en kirkegård eller et kirkegårdsmarklægningssystem, og som ofte er kendetegnet ved sine bredere målinger end en normal dige.","['https://docs.banuba.com/face-ar-sdk/effect_constructor/tutorials/physics_tutorial', 'https://www.physicsforums.com/threads/understanding-the-venturi-effect-in-fluid-dynamics.389454/', 'https://ypod.cymru/podlediadau/bbc-pigion']"
Dige (uspecificeret),Dig (unspecified),digg,91,Nyere tid,"{'Nyere tid': 44, 'Historisk Tid': 32, 'Udateret': 10, 'Middelalder': 4, 'Efterreformatorisk tid': 1}","En dige er et gravet hul i jorden, som kan have mange forskellige formål, f.eks. afmærkning af en grænse eller et marklægningssystem, og som ofte er kendetegnet ved sine smalle målinger.","['https://www.museumsilkeborg.dk/fortidsminder-i-landskabet', 'https://www.danskskovforening.dk/nyhed/fremskridt-for-skovejerne-i-forvaltningen-af-fortidsminder/']"
Hovedbygning,Main building,building,89,Historisk Tid,"{'Historisk Tid': 37, 'Nyere tid': 23, 'Middelalder': 18, 'Efterreformatorisk tid': 8, 'Bronzealder': 1, 'Jernalder': 1, 'Vikingetid': 1}","En hovedbygning er den vigtigste bygning i et anlæg, f.eks. et herregårdsanlæg, hvor der ofte er placeret administrative afdelinger.","['https://en.wiktionary.org/wiki/hovedbygning', 'https://dictionary.cambridge.org/dictionary/norwegian-english/hovedbygning', 'https://en.wiktionary.org/wiki/hovedbygningen', 'https://glosbe.com/nb/nb/hovedbygning', 'https://dictionary.cambridge.org/dictionary/norwegian-english/hovedbryter']"
Forrådshus,Storehouse,store,89,Jernalder,"{'Jernalder': 51, 'Oldtid': 23, 'Middelalder': 8, 'Bronzealder': 3, 'Nyere tid': 2, 'Udateret': 2}","Et forrådshus er et sted til opbevaring af fødevarer, f.eks. korn, vin eller olier, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://mymemory.translated.net/en/Norwegian/English/forr%C3%A5dshus', 'https://ordnet.dk/ddo/ordbog?query=forr%C3%A5dshus', 'https://naob.no/ordbok/forr%C3%A5dshus', 'https://glosbe.com/da/en/forr%C3%A5dshus', 'https://www.churchofjesuschrist.org/study/scriptures/gs/storehouse?lang=dan']"
Plankekiste,Plank chest,ankh,87,Stenalder,"{'Stenalder': 37, 'Bronzealder': 17, 'Jernalder': 16, 'Vikingetid': 10, 'Oldtid': 3, 'Historisk Tid': 1, 'Middelalder': 1, 'Nyere tid': 1, 'Udateret': 1}","En plankekiste er en kiste, der er lavet af træplanker, og som ofte er brugt til at opbevare genstande eller til at begrave de døde.","['https://mymemory.translated.net/en/Norwegian/English/forr%C3%A5dshus', 'https://ordnet.dk/ddo/ordbog?query=forr%C3%A5dshus', 'https://naob.no/ordbok/forr%C3%A5dshus', 'https://glosbe.com/da/en/forr%C3%A5dshus', 'https://www.churchofjesuschrist.org/study/scriptures/gs/storehouse?lang=dan']"
Mølledam,Mill pond,fill,87,Nyere tid,"{'Nyere tid': 54, 'Historisk Tid': 13, 'Middelalder': 8, 'Udateret': 8, 'Efterreformatorisk tid': 4}","En mølledam er et kildested, hvor der ofte er fundet mølresten, og som har fungeret som et centralt sted i landskabet.","['https://en.wiktionary.org/wiki/m%C3%B8lle', 'https://old-danish-dictionary.vercel.app/word/molnedam', 'https://danish_english.en-academic.com/26609/m%C3%B8lleb%C3%A6k', 'https://en.m.wikipedia.org/wiki/File:Brede_V%C3%A6rk_0271.JPG', 'https://old-danish-dictionary.vercel.app/word/utildomt']"
Pælerække (uspecificeret),Pile row (unspecified),crow,87,Historisk Tid,"{'Historisk Tid': 22, 'Udateret': 16, 'Oldtid': 15, 'Nyere tid': 11, 'Middelalder': 8, 'Stenalder': 6, 'Bronzealder': 5, 'Efterreformatorisk tid': 2, 'Jernalder': 2}","En pælerække er en række pæler, der er planteret i jorden, enten til produktion eller til pynt, og som ofte er kendetegnet ved sine lange, smalle former.","['https://en.wiktionary.org/wiki/m%C3%B8lle', 'https://old-danish-dictionary.vercel.app/word/molnedam', 'https://danish_english.en-academic.com/26609/m%C3%B8lleb%C3%A6k', 'https://en.m.wikipedia.org/wiki/File:Brede_V%C3%A6rk_0271.JPG', 'https://old-danish-dictionary.vercel.app/word/utildomt']"
Jernbaneanlæg,Railway installations,icons,84,Nyere tid,{'Nyere tid': 84},"Et jernbaneanlæg er et sted, hvor der er jernbanespor, og som ofte er kendetegnet ved sine lange, smalle spor, der forbinder steder i landskabet.","['https://ordnet.dk/ddo/ordbog?query=jernbane', 'https://da.wikipedia.org/wiki/Jernbane']"
Bageovn,Bakery oven,dove,73,Middelalder,"{'Middelalder': 27, 'Historisk Tid': 22, 'Nyere tid': 7, 'Oldtid': 6, 'Efterreformatorisk tid': 3, 'Jernalder': 3, 'Vikingetid': 3, 'Bronzealder': 1, 'Udateret': 1}","En bageovn er et ovn, der er bygget til at bage brød, og som ofte er kendetegnet ved sine keramiske eller jernstålmaterialer.","['https://kube-ovn.readthedocs.io/zh-cn/stable/en/reference/kube-ovn-api/', 'https://en.wikipedia.org/wiki/OVN', 'https://kubeovn.github.io/docs/v1.12.x/en/advance/multi-nic/', 'https://www.sdxcentral.com/networking/sdn/definitions/what-the-definition-of-software-defined-networking-sdn/what-is-openflow/what-is-open-virtual-network-ovn-how-it-works/']"
Landingsplads,Landing site,digg,73,Historisk Tid,"{'Historisk Tid': 59, 'Middelalder': 3, 'Vikingetid': 3, 'Efterreformatorisk tid': 2, 'Jernalder': 2, 'Nyere tid': 2, 'Oldtid': 1, 'Udateret': 1}","En landingsplads er et sted, hvor der er plads til at et fly kan lande, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://en.bab.la/dictionary/danish-english/landingsplads', 'https://www.thefreedictionary.com/landing+places', 'https://dictionary.cambridge.org/dictionary/english-danish/landing']"
Dødehus,Deadhouse,ad,71,Stenalder,"{'Stenalder': 35, 'Jernalder': 13, 'Bronzealder': 11, 'Oldtid': 9, 'Vikingetid': 3}","Et dødehus er en type grav, der dækker over flere begravelser, og som ofte er kendetegnet ved sine store størrelser og særlige konstruktioner.","['https://www.livescience.com/55487-photos-viking-tomb-in-denmark.html', 'https://www.ancient-origins.net/news-history-archaeology/examination-1000-year-old-viking-death-house-reveals-elite-burial-stunning-020880', 'https://www.sciencenordic.com/archaeology-denmark-society--culture/unique-viking-tomb-contains-remains-of-noble-couple/1434827', 'https://www.thevintagenews.com/2016/10/06/rare-death-house-found-in-denmark-confirms-the-vikings-reputation/']"
Skel (uspecificeret),Skel (unspecified),file,70,Historisk Tid,"{'Historisk Tid': 41, 'Nyere tid': 16, 'Middelalder': 5, 'Udateret': 5, 'Jernalder': 2, 'Efterreformatorisk tid': 1}","Et skel er en grænse, der adskiller to områder, f.eks. to ejendomme, og som ofte er kendetegnet ved sine synlige position i landskabet.","['https://trap.lex.dk/Skelsten_(uspecificeret),_Overg%C3%A5rd', 'https://trap.lex.dk/Rundh%C3%B8j,_mv.,_Manh%C3%B8j', 'https://da.wikipedia.org/wiki/Fredede_fortidsminder_i_Kolding_Kommune']"
Hørtørringsanlæg,Flax drying plant,plane,69,Historisk Tid,"{'Historisk Tid': 22, 'Nyere tid': 16, 'Udateret': 12, 'Oldtid': 5, 'Jernalder': 4, 'Vikingetid': 4, 'Efterreformatorisk tid': 3, 'Middelalder': 3}","Et hørtørringsanlæg er et sted, hvor der har været produktion af tøj, f.eks. uld, bomuld eller andre fiber, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://trap.lex.dk/Skelsten_(uspecificeret),_Overg%C3%A5rd', 'https://trap.lex.dk/Rundh%C3%B8j,_mv.,_Manh%C3%B8j', 'https://da.wikipedia.org/wiki/Fredede_fortidsminder_i_Kolding_Kommune']"
Flinthuggeplads,Flint cutting site,cut,69,Stenalder,"{'Stenalder': 56, 'Oldtid': 7, 'Bronzealder': 5, 'Nyere tid': 1}","En flinthuggeplads er et sted, hvor der er plads til at et fartøj kan lande, og som ofte er kendetegnet ved sine store størrelser og centrale placering.",['https://www.yumpu.com/da/document/view/23991831/klassifikation-af-anlag-centralregistrering-11-1-kulturstyrelsen']
Begivenhed,Event,evernote,67,Historisk Tid,"{'Historisk Tid': 47, 'Nyere tid': 17, 'Middelalder': 3}","En begivenhed er et sted, hvor der har været en begivenhed, f.eks. en samling eller et arrangement, og som ofte er kendetegnet ved sine særlige konstruktioner, f.eks. et podium eller et sted med forbindelser til en lokal begivenhed.","['https://en.wiktionary.org/wiki/begivenhed', 'https://dictzone.com/danish-english-dictionary/begivenhed', 'https://www.dinordbok.no/en/danish-english/?q=begivenhed', 'https://en.wiktionary.org/wiki/begivenhet', 'https://ordnet.dk/ddo/ordbog?query=begivenhed']"
Vogndel,Part of a wagon,car,64,Jernalder,"{'Jernalder': 33, 'Udateret': 7, 'Oldtid': 6, 'Vikingetid': 5, 'Stenalder': 4, 'Historisk Tid': 3, 'Bronzealder': 2, 'Nyere tid': 2, 'Efterreformatorisk tid': 1, 'Middelalder': 1}","En vogndel er et sted, hvor der har været dyr, f.eks. får, høns eller andre fjerkriger, og som ofte er kendetegnet ved sine indhegninger, foderpladser og andre relaterede konstruktioner.","['https://nn.wikipedia.org/wiki/Akkadisk', 'https://no.wikipedia.org/wiki/Akkadisk']"
Hulbælte,Hollow belt,bell,63,Jernalder,"{'Jernalder': 62, 'Oldtid': 1}","Et hulbælte er et anlæg, der består af en række huller, der ofte er placeret i nærheden af en gård eller andet stenalderkonstruktion, og som kan have fungeret som et forsvarssystem eller til religiøse formål.","['https://videnskab.dk/kultur-samfund/hulbaelter-en-ny-og-farlig-type-anlaeg-fra-aeldre-jernalder/', 'https://unipress.dk/udgivelser/l/lange-linjer-i-landskabet/', 'https://www.historie-online.dk/boger/anmeldelser-5-5/forhistorisk-tid-12-12/lange-linjer-i-landskabet']"
